rank,city_full,city_short,topsis_score,d_positive,d_negative
1,Inglewood (Los Angeles),inglewood,0.7637215492122279,0.029346981398846922,0.09485808809014641
2,Santa Clara,santa_clara,0.6160024998230222,0.051855173239108765,0.08318521951138991
3,Las Vegas (Paradise),las_vegas,0.5270784930244249,0.05852101286030565,0.06522259363067189
4,Houston,houston,0.48339678952333953,0.06394823534100945,0.05983774593852144
5,Dallas (Arlington),dallas,0.4558928188768251,0.06557799569327252,0.054946044364245085
6,Glendale (Phoenix),glendale,0.44709562362081984,0.07154093115360469,0.05785021532656377
7,Atlanta,atlanta,0.4301889609507635,0.07815222285381251,0.05900240823970601
8,Miami (Miami Gardens),miami,0.39605819555968463,0.07732583733508279,0.050709408389862765
9,New Orleans,new_orleans,0.3852911426712551,0.08281474865521478,0.05190715695566474
10,Tampa,tampa,0.27742112593880697,0.08855938212149991,0.03400077746877353
