city,city,baseline_rank,baseline_score,S1_GreenEnergy_rank,S1_GreenEnergy_delta,S1_GreenEnergy_score,S1_GreenEnergy_score_delta,S2_TransitUpgrade_rank,S2_TransitUpgrade_delta,S2_TransitUpgrade_score,S2_TransitUpgrade_score_delta,S3_Combined_rank,S3_Combined_delta,S3_Combined_score,S3_Combined_score_delta
atlanta,atlanta,7,0.4301889609507635,7,0,0.4091399289575868,-0.021049031993176703,7,0,0.4017759830522106,-0.028412977898552905,9,2,0.38080170233719995,-0.04938725861356352
dallas,dallas,5,0.4558928188768251,6,1,0.4393017127326951,-0.016591106144130008,5,0,0.44863979267865095,-0.0072530261981741395,5,0,0.431103517268102,-0.024789301608723113
glendale,glendale,6,0.44709562362081984,5,-1,0.4504395846086476,0.003343960987827743,6,0,0.40273533528277017,-0.04436028833804967,6,0,0.4085115985402674,-0.03858402508055242
houston,houston,4,0.48339678952333953,4,0,0.46651478139271435,-0.01688200813062518,4,0,0.4635989288464947,-0.01979786067684486,4,0,0.44608137805486686,-0.03731541146847267
inglewood,inglewood,1,0.7637215492122279,1,0,0.7704857123602548,0.006764163148026858,1,0,0.7612976432394349,-0.0024239059727929613,1,0,0.76861613096127,0.004894581749042115
las_vegas,las_vegas,3,0.5270784930244249,3,0,0.48933073117245696,-0.03774776185196793,3,0,0.5183952984103899,-0.008683194614034995,3,0,0.4781325986112512,-0.04894589441317371
miami,miami,8,0.39605819555968463,8,0,0.40212669350773084,0.006068497948046203,8,0,0.3850356405414473,-0.011022555018237346,8,0,0.3918467323979157,-0.004211463161768958
new_orleans,new_orleans,9,0.3852911426712551,9,0,0.39773459471884837,0.012443452047593284,9,0,0.3844090558174855,-0.0008820868537695592,7,-2,0.39759961595796944,0.012308473286714361
santa_clara,santa_clara,2,0.6160024998230222,2,0,0.6274545699585631,0.011452070135540837,2,0,0.630430993360541,0.014428493537518738,2,0,0.6419602889386424,0.02595778911562019
tampa,tampa,10,0.27742112593880697,10,0,0.2885520795234158,0.01113095358460886,10,0,0.29159301004545246,0.014171884106645494,10,0,0.30305004371332495,0.02562891777451798
