rank,city_full,city_short,superbowl_hosted,topsis_score,d_positive,d_negative
1,Seattle,seattle,No,0.655779517135083,0.05072075847418516,0.09662886480227045
2,Inglewood (Los Angeles),inglewood,Yes,0.6442119848418979,0.04737072609680264,0.08577239306012689
3,Santa Clara,santa_clara,Yes,0.5194547177230033,0.0672743011098319,0.07272145702364102
4,Las Vegas (Paradise),las_vegas,Yes,0.47098932598142007,0.06901085637370435,0.061441816441892845
5,Houston,houston,Yes,0.44308638840099923,0.0724272937375114,0.05762392467239495
6,Glendale (Phoenix),glendale,Yes,0.4184739587137198,0.07770873724092887,0.05592025221764216
7,Atlanta,atlanta,Yes,0.4175640320358507,0.08226920917556957,0.058981011794014306
8,Dallas (Arlington),dallas,Yes,0.4119458331107961,0.07610854768988848,0.05331583525854185
9,New Orleans,new_orleans,Yes,0.36742309516906063,0.09059238486551084,0.05261926920162949
10,Miami (Miami Gardens),miami,Yes,0.35967178590981197,0.087071542573324,0.04890800769066027
11,Charlotte,charlotte,No,0.3588318361236086,0.08519028530766937,0.047677018634285105
12,Tampa,tampa,Yes,0.2621301895199437,0.09899847253983883,0.035169467567956976
13,Nashville,nashville,No,0.2107227852046148,0.10799021921960024,0.02883144140263877
