年级,性别,睡眠时长_小时,自主学习时长_小时,手机_学习使用_小时,手机_娱乐使用_小时,电脑_学习使用_小时,电脑_娱乐使用_小时,平板_学习使用_小时,平板_娱乐使用_小时,考试总分,排名区间,自控力_1到5,父母教育水平,家长管控设备
初三,男,5.8,3.3,1.2,3.2,1.5,1.8,0.0,0.5,70.3,20-40%,3,初中及以下,否
高三,男,7.4,1.4,0.6,6.9,0.4,0.9,0.0,0.5,81.0,20-40%,3,初中及以下,否
高二,女,5.7,2.8,0.2,4.4,1.1,1.8,0.1,0.0,62.0,40-60%,3,高中,否
高一,男,8.4,2.9,0.2,2.0,1.1,2.7,0.1,0.4,84.8,20-40%,4,本科,是
初二,男,7.6,3.8,0.5,1.7,0.6,2.2,0.6,0.1,77.5,20-40%,4,高中,是
初二,女,5.8,8.0,2.3,3.5,1.7,1.7,0.2,0.7,79.0,20-40%,2,研究生,否
初一,女,7.1,2.7,0.5,1.4,0.7,2.6,0.2,0.4,80.9,20-40%,3,本科,是
高三,女,6.6,1.7,0.2,6.8,0.8,2.8,0.0,0.6,76.3,20-40%,5,本科,否
高一,女,7.9,2.2,0.5,4.9,0.7,3.2,0.6,0.0,79.1,20-40%,4,高中,否
高二,男,9.1,0.9,0.5,2.1,0.7,1.9,0.4,0.0,85.7,前20%,5,本科,否
初一,女,5.2,1.6,0.1,1.2,0.4,1.1,0.0,0.6,70.8,20-40%,4,本科,是
高三,女,7.6,1.8,0.6,5.3,0.3,1.4,0.4,0.0,66.6,40-60%,3,本科,是
高二,男,7.3,1.7,0.5,2.6,1.9,2.8,0.2,0.0,66.3,40-60%,4,本科,是
初二,男,8.3,2.4,1.1,5.0,0.4,0.7,0.0,0.0,69.9,40-60%,4,本科,否
初二,女,7.8,1.5,2.7,1.2,0.4,1.6,0.2,1.6,94.6,前20%,2,研究生,是
初二,女,6.6,3.9,1.5,2.0,0.2,0.9,0.2,0.7,86.8,前20%,3,研究生,否
初三,女,7.1,2.2,0.5,2.7,0.5,1.2,0.1,0.2,65.1,40-60%,4,本科,否
高一,女,6.5,2.2,0.3,2.8,0.3,3.0,0.9,0.2,58.8,40-60%,2,初中及以下,否
初三,男,8.8,1.9,4.0,2.2,2.0,1.4,0.6,0.2,82.7,20-40%,4,初中及以下,否
初二,男,7.5,2.4,0.6,3.7,1.4,1.3,0.3,0.7,80.7,20-40%,4,高中,是
高一,女,9.8,3.4,0.6,1.6,0.5,0.5,0.2,0.5,88.7,前20%,5,本科,否
初一,女,7.4,1.4,0.6,2.5,2.9,2.1,0.2,0.1,65.8,40-60%,1,高中,否
初二,女,6.6,1.6,0.7,2.9,1.3,1.9,0.3,0.1,70.7,20-40%,3,高中,是
初三,女,5.7,1.9,0.5,3.5,0.6,5.6,0.2,0.1,73.9,20-40%,4,研究生,否
高一,男,5.3,1.1,0.4,3.9,0.2,1.0,0.0,0.5,69.3,40-60%,3,研究生,是
高二,男,5.6,1.5,0.4,1.5,2.9,1.4,0.2,0.7,56.5,40-60%,4,研究生,否
初二,女,7.8,1.8,0.6,1.3,0.3,1.5,0.5,0.2,74.6,20-40%,4,高中,否
高一,女,8.1,3.4,0.4,5.1,0.3,3.7,0.2,0.0,64.8,40-60%,2,本科,是
高一,女,5.6,2.5,0.3,3.2,1.4,1.1,0.0,0.0,74.0,20-40%,3,高中,否
初一,女,8.6,2.5,0.7,1.9,3.2,1.5,0.5,1.7,100.0,前20%,3,高中,否
高一,女,6.9,3.4,0.5,5.9,1.7,1.9,0.1,0.2,76.7,20-40%,3,高中,否
初二,男,7.7,2.1,2.0,2.9,1.0,1.4,0.1,0.7,76.5,20-40%,5,高中,否
初一,男,9.4,2.7,0.1,4.9,1.1,0.9,0.1,0.5,85.4,前20%,4,本科,否
高三,男,8.6,2.1,1.5,2.8,1.2,1.4,0.1,0.2,81.4,20-40%,4,研究生,是
高三,女,7.2,2.5,1.6,7.6,1.2,2.6,0.4,0.1,77.0,20-40%,4,初中及以下,是
高二,男,6.4,1.7,0.1,6.5,0.9,0.6,0.2,0.1,74.6,20-40%,3,本科,是
初三,男,4.9,0.7,0.5,2.4,0.8,1.3,0.1,0.5,89.7,前20%,5,本科,否
初一,女,6.6,2.1,0.5,4.4,0.7,0.7,0.6,0.7,65.3,40-60%,4,高中,否
高二,男,7.2,4.5,0.2,3.8,0.5,2.8,0.6,0.5,82.9,20-40%,4,本科,否
初三,女,6.3,3.5,0.3,5.4,0.6,0.4,0.6,0.4,71.7,20-40%,5,高中,否
初一,男,7.3,3.6,0.2,1.7,0.3,0.8,0.1,0.0,81.5,20-40%,3,本科,是
高一,男,7.6,4.1,2.5,3.8,0.7,1.6,0.2,1.7,72.2,20-40%,4,本科,是
初一,女,7.2,2.3,1.3,4.6,0.4,3.7,1.3,0.8,65.8,40-60%,2,高中,是
高三,男,6.7,2.5,1.7,1.1,0.4,1.2,0.4,0.2,72.5,20-40%,3,初中及以下,是
初二,男,7.7,1.6,1.1,1.5,0.8,0.8,0.0,2.0,81.3,20-40%,3,本科,是
高二,女,8.0,1.9,0.2,1.0,1.7,4.6,0.0,0.5,85.7,前20%,5,研究生,是
初三,女,6.2,3.0,0.4,2.4,1.3,0.4,0.2,0.4,69.9,40-60%,5,高中,是
高一,男,9.2,4.1,0.9,3.9,0.3,0.3,0.7,0.7,81.9,20-40%,4,本科,是
高一,女,7.4,2.1,0.2,5.8,0.4,1.7,0.2,0.8,67.9,40-60%,4,本科,是
初二,男,7.5,1.8,1.1,2.8,1.3,0.9,0.2,0.5,65.9,40-60%,4,研究生,是
高三,男,8.3,2.2,0.5,6.1,0.4,0.6,0.0,0.1,76.1,20-40%,5,研究生,否
高二,女,7.8,3.0,0.4,1.4,0.6,2.0,0.3,0.2,73.7,20-40%,3,本科,否
高三,女,8.6,1.1,1.1,1.2,1.0,1.4,0.5,1.3,93.0,前20%,3,本科,否
高三,女,7.8,0.7,0.9,2.6,0.4,0.8,0.1,0.1,72.4,20-40%,2,研究生,否
高一,女,6.8,1.7,0.5,3.3,0.8,0.5,0.4,0.2,63.6,40-60%,4,高中,是
高三,女,7.9,1.2,1.5,2.7,0.3,2.2,1.0,0.3,70.1,20-40%,4,高中,否
初一,男,6.1,1.7,0.3,1.0,0.5,1.9,0.1,0.3,80.2,20-40%,3,初中及以下,是
初二,男,7.6,2.1,1.0,2.6,0.9,1.1,0.2,0.5,85.7,前20%,1,研究生,是
初一,女,7.5,1.8,1.0,1.4,0.3,4.4,0.1,1.4,61.5,40-60%,4,本科,是
初三,男,7.3,4.6,0.5,3.8,1.0,0.6,0.5,0.1,58.2,40-60%,1,初中及以下,是
初三,男,7.3,2.6,0.8,3.3,0.7,0.4,0.3,0.1,92.2,前20%,4,本科,是
初二,男,5.2,2.6,0.2,1.7,1.0,0.8,0.3,0.1,81.4,20-40%,5,本科,是
高二,男,6.8,3.0,1.3,2.1,0.8,1.2,0.5,1.1,68.4,40-60%,3,初中及以下,否
初三,女,7.6,1.3,0.5,1.6,1.7,1.4,0.2,0.5,77.2,20-40%,3,研究生,是
初二,女,7.7,3.7,0.4,2.6,0.8,1.0,0.7,0.2,58.8,40-60%,4,高中,是
高一,女,6.3,2.1,1.4,4.4,0.6,1.6,0.2,0.8,73.9,20-40%,4,初中及以下,否
初一,男,9.0,3.1,0.3,1.7,0.8,0.5,0.1,1.0,80.5,20-40%,3,本科,是
